# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
137 -2.58855776954239161e+02 -7.38522406932539752e+01 -2.50835775671150278e-02 -7.15641130258401915e-03 1.59467431987002755e+01 -8.61953337049578323e+01
138 -2.47123684962894202e+02 -7.40538046255337434e+01 -2.39479436980328912e-02 -7.17631069666063107e-03 1.52824674027413092e+01 -8.61477666261478419e+01
139 -2.58657871685916746e+02 -9.21062559918560453e+01 -2.50637642382529335e-02 -8.92503085253579416e-03 1.70064988819562757e+01 -8.61230590411189922e+01
140 -2.59169637243633076e+02 -9.67800491328066954e+01 -2.51131040975711879e-02 -9.37782478799968448e-03 1.73042775340715096e+01 -8.61065254522918195e+01
141 -2.57277653317667045e+02 -9.44557816743764533e+01 -2.49300812199149610e-02 -9.15271994464767098e-03 1.70611222921424179e+01 -8.61083962681614992e+01
142 -2.37316461283960706e+02 -9.78538547622591039e+01 -2.29976894432688574e-02 -9.48274953399225878e-03 1.61169583617471481e+01 -8.60167507378434379e+01
143 -2.47293869898088957e+02 -7.18608652309815739e+01 -2.39644847703492231e-02 -6.96381439265625780e-03 1.51608999536531552e+01 -8.61568488657361797e+01
144 -2.48617760188159565e+02 -9.59792048803717250e+01 -2.40917961131789475e-02 -9.30066875887279945e-03 1.66489724558995071e+01 -8.60685781320474206e+01
145 -2.39586541462658772e+02 -9.17584390021578571e+01 -2.32176914365528411e-02 -8.89206509867290426e-03 1.58949523686016647e+01 -8.60494249474611479e+01
146 -2.58718620363859088e+02 -9.29119393367108160e+01 -2.50696115187034677e-02 -9.00308691096461666e-03 1.70564103598633920e+01 -8.61201095168910911e+01
147 -2.59527512431546597e+02 -7.11680491512379376e+01 -2.51486788587428831e-02 -6.89631090106405508e-03 1.58250250493455376e+01 -8.62084040372313183e+01
148 -2.71526943511153263e+02 -1.00115110840944851e+02 -2.63088613725503406e-02 -9.70038014773933095e-03 1.82237995643538220e+01 -8.61406382906036185e+01
149 -2.71366438290486940e+02 -7.06664441235764684e+01 -2.62944755089636328e-02 -6.84733563965587728e-03 1.64950425672534671e+01 -8.62571277522206969e+01
150 -2.62360987709835683e+02 -9.87601493681427769e+01 -2.54218885638726258e-02 -9.56952302133073050e-03 1.76038504982460644e+01 -8.61109664449757588e+01
151 -2.28585689071950640e+02 -1.58798468462670485e+02 -2.21493915673550389e-02 -1.53871813784845074e-02 1.89060085837049918e+01 -8.57400024063749697e+01
152 -2.23088125750796905e+02 -1.69988790825345660e+02 -2.16164670887356684e-02 -1.64713253561274767e-02 1.91670528672220968e+01 -8.56736293626286880e+01
153 -2.19299535044535304e+02 -1.53306587614114562e+02 -2.12506679463502560e-02 -1.48557879373250584e-02 1.81215569813134891e+01 -8.57270494641671235e+01
154 -2.21531109172985509e+02 -1.63352112619107515e+02 -2.14661379839533005e-02 -1.58286527004833158e-02 1.87515704753422092e+01 -8.56948629803503223e+01
155 -2.24744284828380074e+02 -1.61103591442731613e+02 -2.17773584501106052e-02 -1.56106779806553971e-02 1.88127199896444530e+01 -8.57161373943432636e+01
156 -2.28592634888214121e+02 -1.72191334784069767e+02 -2.21492130391379195e-02 -1.66842757619507162e-02 1.95755355699272080e+01 -8.56851174379336840e+01
157 -2.25313359544300738e+02 -1.74994443027901582e+02 -2.18315690187382457e-02 -1.69559553352100698e-02 1.95347466312520801e+01 -8.56613771165668112e+01
158 -2.05640661162306287e+02 -1.70263728504681183e+02 -1.99271440777247476e-02 -1.64990222748092469e-02 1.82494591309756160e+01 -8.56065850753483915e+01
159 -1.99178670405243906e+02 -1.62337903542745408e+02 -1.93018384272456919e-02 -1.57317044963935677e-02 1.75146471395164944e+01 -8.56135785103922018e+01
160 -2.28569262515961924e+02 -1.57723118550000237e+02 -2.21478666560272312e-02 -1.52830286967139059e-02 1.88506285748264162e+01 -8.57443242485166479e+01
161 -2.23488213561686649e+02 -1.80081780075325781e+02 -2.16545376026823257e-02 -1.74487397614942093e-02 1.96843571765802245e+01 -8.56336212481377572e+01
162 -1.94876429281031335e+02 -1.64211829185751583e+02 -1.88850979034585822e-02 -1.59134508083928275e-02 1.73860215857935287e+01 -8.55894795659780812e+01
163 -2.06794553440865911e+02 -1.68173485123852288e+02 -2.00389996256048579e-02 -1.62965046678428087e-02 1.82061511027345411e+01 -8.56194153852976143e+01
164 -2.15267850117971051e+02 -1.67462643729858513e+02 -2.08594833812427265e-02 -1.62271525076671738e-02 1.86204907189175692e+01 -8.56544847400990079e+01
165 -2.25558741348616223e+02 -1.62214160480149047e+02 -2.18561404710659671e-02 -1.57181914416278760e-02 1.89129874803076170e+01 -8.57146793613829487e+01
166 -2.06873354488229381e+02 -1.75536412182299273e+02 -2.00461902010593898e-02 -1.70096159291415333e-02 1.85749975774130505e+01 -8.55899379423389917e+01
167 -2.09174787897021304e+02 -1.78550568354274077e+02 -2.02688451433050733e-02 -1.73013863506512253e-02 1.88442385027022823e+01 -8.55863818536734300e+01
168 -2.04732790775980533e+02 -1.84391005845884933e+02 -1.98383713466116877e-02 -1.78672758432161932e-02 1.88946621014687715e+01 -8.55458453974166702e+01
